,name,price,purchase,weigth,long,width,depth,volume
46,Ноутбук ASUS VivoBook S15 S530UF,56890.0,1.95,1.8,3.614,2.435,2.435,21.428219149999997
47,Ноутбук HP Envy 13-ad000,54990.0,0.016666666666666666,1.9462745098039216,3.054,2.156,2.156,14.196018144000002
48,Ноутбук HP Chromebook 14 G5,19972.0,4.766666666666667,1.54,3.37,2.26,2.26,17.212611999999996
49,Ноутбук ASUS X540LA,24985.0,2.45,1.9,3.8139999999999996,2.515,2.515,24.12440815
50,Ноутбук MSI GF75 Thin 8RC,65228.0,0.55,2.2,3.97,2.6,2.6,26.837200000000003
51,Ноутбук MSI GE75 8SE Raider,123585.0,1.15,2.64,3.97,2.685,2.685,28.620623250000005
52,Ноутбук DELL Vostro 5471,54899.0,1.2666666666666666,1.69,3.43,2.408,2.408,19.888731519999997
54,Ноутбук Apple MacBook Mid 2017,80390.0,2.316666666666667,0.92,2.805,1.965,1.965,10.830736125000001
55,Ноутбук HP 14-cm0000,27570.0,0.7166666666666667,1.9462745098039216,3.35,2.34,2.34,18.343259999999997
56,Ноутбук HP PAVILION 15-cs1000,49690.0,0.9333333333333332,1.9462745098039216,3.616,2.416,2.416,21.106794495999996
57,Ноутбук Digma EVE 100,10990.0,0.5833333333333334,0.85,2.778,1.854,1.854,9.548863848000002
58,Ноутбук HP 14-ck0000,19549.0,1.55,1.9462745098039216,3.35,2.34,2.34,18.343259999999997
59,Ноутбук ASUS E406SA,18600.0,0.35,1.3,3.264,2.265,2.265,16.7450544
60,Ноутбук ASUS X555QA,33820.0,0.7166666666666667,2.3,3.82,2.56,2.56,25.034751999999997
61,Ноутбук HP PAVILION 14-ba100 x360,46270.0,2.3666666666666667,1.9462745098039216,3.3480000000000003,2.269,2.269,17.236712628000003
62,"Ноутбук Xiaomi Mi Notebook Air 13.3"" 2018",57674.13351498637,10.233333333333333,1.3,3.096,2.109,2.109,13.770639575999999
63,Ноутбук Irbis NB52,57674.13351498637,6.666666666666668,1.4,3.5,2.32,2.32,18.838399999999996
64,Ноутбук Acer SPIN 5 Pro (SP513-53N),58985.0,12.0,1.6,3.2439999999999998,2.26,2.26,16.569054399999995
65,Ноутбук ASUS VivoBook S15 S510,37990.0,4.0,1.9462745098039216,3.614,2.435,2.435,21.428219149999997
66,Ноутбук Lenovo THINKPAD Edge E570,42990.0,13.45,2.3,3.79,2.61,2.61,25.817859
67,Ноутбук Digma EVE 300,11190.0,0.016666666666666666,1.28,3.15,2.12,2.12,14.15736
68,Ноутбук ASUS X407UA,39092.0,4.033333333333333,1.5,3.28,2.46,2.46,19.849248
69,Ноутбук Razer Blade Stealth 13.3,86380.0,0.5166666666666667,1.33,3.21,2.06,2.06,13.621956
70,Ноутбук Fujitsu LIFEBOOK E548,102100.0,2.7666666666666666,1.79,3.3360000000000003,2.34,2.34,18.266601599999998
71,Ноутбук ASUS X540MA,17546.0,2.15,1.9,3.81,2.51,2.51,24.003380999999994
72,Ноутбук Acer ASPIRE ES1-533,17290.0,0.016666666666666666,2.4,3.818,2.58,2.58,25.414135200000004
73,Ноутбук ASUS ZenBook Pro 15 UX550GD,95400.0,0.4,1.86,3.65,2.51,2.51,22.995364999999993
74,Ноутбук Getac V110,198935.0,6.033333333333332,1.98,2.99,2.23,2.23,14.868971000000002
75,Ноутбук Lenovo ThinkPad L390,41648.0,1.7833333333333334,1.46,3.22,2.242,2.242,16.18553608
76,Ноутбук Digma CITI E401 Developer Edition,11095.0,4.683333333333334,1.44,3.29,2.2,2.2,15.923600000000002
77,Ноутбук ASUS ZenBook 15 UX533FD,110355.0,6.95,1.59,3.54,2.2,2.2,17.133600000000005
78,Ноутбук Microsoft Surface Laptop,104000.0,0.5333333333333333,1.25,3.0810000000000004,2.2327,2.2327,15.35862876249
79,Ноутбук Lenovo ThinkPad T480s,81000.0,0.4833333333333333,1.31,3.31,2.2680000000000002,2.2680000000000002,17.026057440000006
80,Ноутбук Lenovo V110 15 AMD,14686.0,0.38333333333333336,1.9,3.8,2.62,2.62,26.08472
81,Ноутбук HP 15-ra000,13850.0,1.3166666666666669,2.1,3.8,2.5380000000000003,2.5380000000000003,24.477487200000006
82,Ноутбук Prestigio Smartbook 116C,57674.13351498637,0.03333333333333333,1.06,2.7689999999999997,1.892,1.892,9.912089615999998
83,Ноутбук Lenovo IdeaPad 320 15 AMD,26090.0,0.03333333333333333,2.2,3.78,2.6,2.6,25.552799999999998
84,Ноутбук Apple MacBook Pro 13 with Retina display and Touch Bar Mid 2017,125500.0,0.016666666666666666,1.37,3.0410000000000004,2.124,2.124,13.719094416000003
85,Ноутбук ASUS ROG Strix GL703GE,69090.0,0.4666666666666667,3.0,4.15,2.8,2.8,32.536
